t,C_tax_financed_breakdown,C_debt_financed_breakdown,difference
0,0.6324295528987371,0.6592151551723899,0.026785602273652787
1,0.6800232759935856,0.6681015621086215,-0.011921713884964102
2,0.6848625305245397,0.6777131436165512,-0.0071493869079884975
3,0.6878808585572778,0.6835931430624278,-0.004287715494849964
4,0.6897952459930546,0.6872236264507247,-0.0025716195423299837
5,0.6910373965760792,0.6894949573339052,-0.0015424392421740096
6,0.6918678458198705,0.6909426633667878,-0.0009251824530827069
7,0.6924443834262882,0.6918894225154819,-0.0005549609108063125
8,0.6928630968898157,0.6925301989692304,-0.00033289792058532885
9,0.693183006273484,0.6929833092043619,-0.0001996970691220401
10,0.6934408632972792,0.6933210672006284,-0.00011979609665080382
11,0.6936600543451237,0.6935881884832946,-7.186586182905685e-05
12,0.6938559692707048,0.6938128560586383,-4.311321206651453e-05
13,0.6940392525172694,0.6940133879747821,-2.5864542487319397e-05
14,0.6942177865410339,0.694202269642747,-1.551689828693803e-05
15,0.694397918015507,0.6943886088699315,-9.309145575508992e-06
16,0.6945852338488147,0.6945796489063744,-5.584942440295393e-06
17,0.6947850721798264,0.6947817215165625,-3.3506632639568323e-06
18,0.6950028805810697,0.6950008703529565,-2.0102281131917366e-06
19,0.6952429694557846,0.6952401257769978,-2.843678786779158e-06
